자치구,연도,대여소수,등록인구
강남구,2023,171,1096573
강남구,2024,174,1127495
강동구,2023,121,925771
강동구,2024,118,950938
강북구,2023,60,587781
강북구,2024,60,579052
강서구,2023,194,1138804
강서구,2024,193,1125709
관악구,2023,75,998465
관악구,2024,73,992089
광진구,2023,86,703139
광진구,2024,87,697959
구로구,2023,115,832466
구로구,2024,117,824357
금천구,2023,76,483181
금천구,2024,74,478647
노원구,2023,142,1007348
노원구,2024,152,994910
도봉구,2023,77,619627
도봉구,2024,75,612958
동대문구,2023,84,718986
동대문구,2024,89,717822
동작구,2023,73,780454
동작구,2024,72,775144
마포구,2023,123,750801
마포구,2024,120,746619
서대문구,2023,81,642008
서대문구,2024,84,638371
서초구,2023,147,822844
서초구,2024,146,825687
성동구,2023,97,570309
성동구,2024,99,563674
성북구,2023,83,878257
성북구,2024,83,870529
송파구,2023,220,1321540
송파구,2024,218,1314301
양천구,2023,109,879843
양천구,2024,110,870218
영등포구,2023,155,796090
영등포구,2024,164,794687
용산구,2023,92,457798
용산구,2024,91,435564
은평구,2023,99,942024
은평구,2024,98,932159
종로구,2023,103,301580
종로구,2024,103,299619
중구,2023,89,263618
중구,2024,91,262803
중랑구,2023,95,775410
중랑구,2024,96,771480
