대여년월,이용건수합계,일일권_이용건수,정기권_이용건수,이용거리(M),이용시간(분),버스이용량,평균기온,월강수량합
202307,3932000,607978,3323934,9237476405.69,79827738,137927322,26.433333333333334,473.94444444444446
202308,3935493,626733,3308706,9353818665.66,80655162,135512192,26.977777777777778,270.2962962962963
202309,4549073,855423,3693568,11700119154.37,100776058,133083857,23.366666666666667,120.25925925925925
202310,5293242,997413,4295780,13288053836.36,115946145,135068686,15.6,31.64814814814815
202311,3433937,412253,3021680,6479824027.78,63201815,136874774,6.844444444444445,82.9074074074074
202312,2104451,241155,1863287,4058647010.77,37692599,135378057,1.1500000000000001,79.48148148148148
202407,3723233,542029,3181204,8297901365.86,73756181,145739977,26.45925925925926,469.1666666666667
202408,3998334,621359,3376975,8534127751.94,80160328,142136068,29.02592592592593,105.94444444444444
202409,4250766,802807,3447956,10619780795.08,93381260,137157962,25.20769230769231,158.66666666666666
202410,4686757,860222,3826531,11334394252.68,101951082,146254229,16.400000000000002,63.648148148148145
202411,3499197,523475,2975722,7526589179.32,69483864,144587903,9.674074074074074,51.0
202412,2278095,248498,2029597,4259113170.13,40536534,143908154,0.5777777777777777,3.925925925925926
